time,speed,throttle,brake,gear
1774799603.0120754,124,117,79,131
1774799603.012081,124,117,79,131
1774799603.012099,124,117,79,131
1774799603.0121095,124,117,79,131
1774799603.0121138,124,117,79,131
1774799603.0566652,124,117,79,131
1774799603.056687,124,117,79,131
1774799603.0566912,124,117,79,131
1774799603.0566947,124,117,79,131
1774799603.0566971,124,117,79,131
1774799603.056708,124,117,79,131
1774799603.0567245,124,117,79,131
1774799603.1080616,124,117,79,131
1774799603.1080797,124,117,79,131
1774799603.1080835,124,117,79,131
1774799603.1080866,124,117,79,131
1774799603.1080894,124,117,79,131
1774799603.1080918,124,117,79,131
1774799603.1080952,124,117,79,131
1774799603.1080985,124,117,79,131
1774799603.1591418,124,117,79,131
1774799603.159162,124,117,79,131
1774799603.159166,124,117,79,131
1774799603.1591697,124,117,79,131
1774799603.1591723,124,117,79,131
1774799603.1591766,124,117,79,131
1774799603.1591809,124,117,79,131
1774799603.211322,124,117,79,131
1774799603.2113411,124,117,79,131
1774799603.211345,124,117,79,131
1774799603.2113478,124,117,79,131
1774799603.21135,124,117,79,131
1774799603.21136,124,117,79,131
1774799603.2113779,124,117,79,131
1774799603.211387,124,117,79,131
1774799603.2589343,124,117,79,131
1774799603.2589526,124,117,79,131
1774799603.258957,124,117,79,131
1774799603.2589645,124,117,79,131
1774799603.258967,124,117,79,131
1774799603.2589695,124,117,79,131
1774799603.258973,124,117,79,131
1774799603.3058336,124,117,79,131
1774799603.305852,124,117,79,131
1774799603.3058555,124,117,79,131
1774799603.3058581,124,117,79,131
1774799603.3058608,124,117,79,131
1774799603.3058636,124,117,79,131
1774799603.3058662,124,117,79,131
1774799603.305872,124,117,79,131
1774799603.358397,124,117,79,131
1774799603.358413,124,117,79,131
1774799603.3584166,124,117,79,131
1774799603.3584197,124,117,79,131
1774799603.3584223,124,117,79,131
1774799603.358425,124,117,79,131
1774799603.3584273,124,117,79,131
1774799603.410452,124,117,79,131
1774799603.410469,124,117,79,131
1774799603.410473,124,117,79,131
1774799603.410476,124,117,79,131
1774799603.4104786,124,117,79,131
1774799603.4104817,124,117,79,131
1774799603.410485,124,117,79,131
1774799603.4104886,124,117,79,131
1774799603.457935,124,117,79,131
1774799603.4579537,124,117,79,131
1774799603.4579601,124,117,79,131
1774799603.4579654,124,117,79,131
1774799603.4579763,124,117,79,131
1774799603.4579885,124,117,79,131
1774799603.4580114,124,117,79,131
1774799603.51072,124,117,79,131
1774799603.5107365,124,117,79,131
1774799603.5107403,124,117,79,131
1774799603.5107431,124,117,79,131
1774799603.5107458,124,117,79,131
1774799603.5107486,124,117,79,131
1774799603.5107512,124,117,79,131
1774799603.5107536,124,117,79,131
1774799603.510757,124,117,79,131
1774799603.5107615,124,117,79,131
1774799603.5558853,124,117,79,131
1774799603.5559032,124,117,79,131
1774799603.555907,124,117,79,131
1774799603.5559096,124,117,79,131
1774799603.555915,124,117,79,131
1774799603.555918,124,117,79,131
1774799603.5559204,124,117,79,131
1774799603.6085296,124,117,79,131
1774799603.6085465,124,117,79,131
1774799603.60855,124,117,79,131
1774799603.6085532,124,117,79,131
1774799603.608556,124,117,79,131
1774799603.608559,124,117,79,131
1774799603.608563,124,117,79,131
1774799603.6085672,124,117,79,131
1774799603.660715,124,117,79,131
1774799603.6607742,124,117,79,131
1774799603.6607819,124,117,79,131
1774799603.660786,124,117,79,131
1774799603.6608229,124,117,79,131
1774799603.660827,124,117,79,131
1774799603.6608295,124,117,79,131
1774799603.7083738,124,117,79,131
1774799603.7083972,124,117,79,131
1774799603.7084038,124,117,79,131
1774799603.7084084,124,117,79,131
1774799603.7084172,124,117,79,131
1774799603.7084215,124,117,79,131
1774799603.7084253,124,117,79,131
1774799603.7084887,124,117,79,131
1774799603.7608247,124,117,79,131
1774799603.7608469,124,117,79,131
1774799603.7608526,124,117,79,131
1774799603.7608566,124,117,79,131
1774799603.7608607,124,117,79,131
1774799603.7608643,124,117,79,131
1774799603.7608974,124,117,79,131
1774799603.8083441,124,117,79,131
1774799603.8083603,124,117,79,131
1774799603.808364,124,117,79,131
1774799603.8083668,124,117,79,131
1774799603.8083706,124,117,79,131
1774799603.8083742,124,117,79,131
1774799603.8083787,124,117,79,131
1774799603.8083825,124,117,79,131
1774799603.8611612,124,117,79,131
1774799603.86119,124,117,79,131
1774799603.8611968,124,117,79,131
1774799603.8612008,124,117,79,131
1774799603.8612058,124,117,79,131
1774799603.8612103,124,117,79,131
1774799603.8612192,124,117,79,131
1774799603.90875,124,117,79,131
1774799603.9087672,124,117,79,131
1774799603.9087708,124,117,79,131
1774799603.9087749,124,117,79,131
1774799603.9087784,124,117,79,131
1774799603.9087822,124,117,79,131
1774799603.9087865,124,117,79,131
1774799603.9087996,124,117,79,131
1774799603.9580708,124,117,79,131
1774799603.9580958,124,117,79,131
1774799603.9581003,124,117,79,131
1774799603.9581032,124,117,79,131
1774799603.958107,124,117,79,131
1774799603.9581115,124,117,79,131
1774799603.9581158,124,117,79,131
1774799604.009436,124,117,79,131
1774799604.0094535,124,117,79,131
1774799604.009458,124,117,79,131
1774799604.0094614,124,117,79,131
1774799604.009464,124,117,79,131
1774799604.0094664,124,117,79,131
1774799604.0094683,124,117,79,131
1774799604.0094805,124,117,79,131
1774799604.0094843,124,117,79,131
1774799604.009534,124,117,79,131
1774799604.009574,124,117,79,131
1774799604.0095859,124,117,79,131
1774799604.0566638,124,117,79,131
1774799604.0566816,124,117,79,131
1774799604.0566864,124,117,79,131
1774799604.0566907,124,117,79,131
1774799604.0567002,124,117,79,131
1774799604.0567026,124,117,79,131
1774799604.0567055,124,117,79,131
1774799604.1098192,124,117,79,131
1774799604.1098413,124,117,79,131
1774799604.1098478,124,117,79,131
1774799604.1098518,124,117,79,131
1774799604.1098557,124,117,79,131
1774799604.1098595,124,117,79,131
1774799604.1098638,124,117,79,131
1774799604.1098673,124,117,79,131
1774799604.157085,124,117,79,131
1774799604.157109,124,117,79,131
1774799604.1571136,124,117,79,131
1774799604.1571167,124,117,79,131
1774799604.1571198,124,117,79,131
1774799604.1571226,124,117,79,131
1774799604.1571264,124,117,79,131
1774799604.2105875,124,117,79,131
1774799604.2106342,124,117,79,131
1774799604.2106507,124,117,79,131
1774799604.2106576,124,117,79,131
1774799604.2106624,124,117,79,131
1774799604.2106667,124,117,79,131
1774799604.2106717,124,117,79,131
1774799604.2106752,124,117,79,131
1774799604.2582986,124,117,79,131
1774799604.2583177,124,117,79,131
1774799604.2583225,124,117,79,131
1774799604.2583265,124,117,79,131
1774799604.2583299,124,117,79,131
1774799604.258338,124,117,79,131
